,RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which of the following Star Wars films have you seen? Please select all that apply.,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film.,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her.",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region)
55,3292162057.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,2,1,3,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Somewhat favorably,Greedo,No,,No,MALE,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain
57,3292156614.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,6,5,2,1,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Han,No,,No,MALE,18-29,"$150,000+",Bachelor degree,West South Central
58,3292148570.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,4,5,3,1,2,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,No,,Yes,MALE,18-29,"$50,000 - $99,999",Graduate degree,West North Central
59,3292144665.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,4,5,3,1,2,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,Yes,Yes,No,MALE,18-29,"$0 - $24,999",High school degree,New England
60,3292143503.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,4,6,1,3,2,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,I don't understand this question,No,,No,MALE,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
61,3292131636.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,6,2,3,1,4,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Somewhat favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,Yes,No,No,MALE,18-29,"$150,000+",Bachelor degree,Pacific
62,3292125068.0,Yes,Yes,,,,Star Wars: Episode IV  A New Hope,,,1,2,3,4,5,6,,Somewhat unfavorably,Somewhat favorably,,Somewhat unfavorably,,,,,,,,,,Greedo,No,,Yes,MALE,30-44,"$100,000 - $149,999",Graduate degree,Pacific
63,3292120160.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,2,1,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Han,Yes,Yes,No,MALE,18-29,"$100,000 - $149,999",Some college or Associate degree,New England
64,3292103680.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,2,1,3,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Greedo,No,,No,MALE,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
65,3292050153.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,1,2,3,4,5,6,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,I don't understand this question,No,,No,MALE,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
66,3292041365.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,2,1,3,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Han,Yes,Yes,Yes,MALE,18-29,"$150,000+",Some college or Associate degree,East South Central
67,3292033243.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,1,5,3,4,2,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Greedo,Yes,Yes,No,MALE,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
68,3292031637.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,2,4,3,1,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,No,MALE,18-29,"$25,000 - $49,999",Graduate degree,East South Central
69,3292008762.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,6,4,2,1,3,Very favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,Yes,Yes,Yes,MALE,18-29,"$25,000 - $49,999",Some college or Associate degree,East South Central
70,3291992352.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,3,6,2,1,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,,Very favorably,Very favorably,Greedo,No,,Yes,MALE,30-44,"$100,000 - $149,999",Graduate degree,West North Central
71,3291945498.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,4,5,2,1,3,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Unfamiliar (N/A),Somewhat unfavorably,Somewhat favorably,Han,No,,Yes,MALE,30-44,"$50,000 - $99,999",Graduate degree,West North Central
72,3291940517.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,3,2,1,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Han,No,,Yes,MALE,18-29,"$100,000 - $149,999",Bachelor degree,West North Central
73,3291871486.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,6,2,4,1,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Greedo,Yes,No,Yes,MALE,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic
74,3291778150.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Greedo,No,,Yes,MALE,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
75,3291766314.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,2,3,1,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,I don't understand this question,No,,No,MALE,30-44,"$50,000 - $99,999",High school degree,Pacific
76,3291762799.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,4,5,6,1,2,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Greedo,No,,Yes,MALE,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
77,3291707153.0,Yes,No,,,,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,4,5,6,1,2,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,,No,MALE,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
79,3291696391.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,4,6,1,2,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Han,Yes,No,No,MALE,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
80,3291684768.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,1,2,3,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Very favorably,Very favorably,Han,No,,No,MALE,30-44,"$100,000 - $149,999",Graduate degree,East North Central
82,3291661584.0,Yes,No,,,,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,3,2,1,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,No,MALE,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
84,3291654919.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,2,3,1,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Greedo,No,,Yes,MALE,> 60,"$50,000 - $99,999",Graduate degree,East North Central
86,3291650311.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,3,2,1,4,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Han,No,,Yes,MALE,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central
89,3291641416.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,1,4,3,6,5,2,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat unfavorably,,Very favorably,Greedo,Yes,No,Yes,MALE,> 60,"$100,000 - $149,999",Graduate degree,East North Central
91,3291634205.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,4,6,2,3,1,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Han,No,,No,MALE,30-44,"$0 - $24,999",Bachelor degree,Pacific
94,3291602842.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,1,2,3,4,5,6,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,Yes,No,No,MALE,30-44,"$50,000 - $99,999",High school degree,Pacific
95,3291598188.0,Yes,Yes,,,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,3,2,1,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,I don't understand this question,No,,Yes,MALE,> 60,"$50,000 - $99,999",High school degree,South Atlantic
96,3291588139.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,1,4,5,2,3,6,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Very favorably,Han,No,,Yes,MALE,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
98,3291548852.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,1,3,2,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Greedo,No,,No,MALE,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
99,3291529925.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,5,6,2,1,4,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,I don't understand this question,No,,No,MALE,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
100,3291524547.0,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,,,1,2,3,4,5,6,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Greedo,No,,No,MALE,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
101,3291502449.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,2,3,6,5,1,4,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,Yes,MALE,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
102,3291497337.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,5,4,1,3,2,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),,Somewhat favorably,Very unfavorably,Somewhat favorably,Very favorably,Greedo,Yes,Yes,Yes,MALE,> 60,"$150,000+",Bachelor degree,South Atlantic
103,3291482197.0,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,3,4,6,2,1,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Very favorably,Greedo,No,,Yes,MALE,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
107,3291468155.0,Yes,No,,,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar (N/A),Somewhat favorably,Unfamiliar (N/A),Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Somewhat favorably,Greedo,No,,Yes,MALE,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific
